product_type,parent_sku,bundle_sku,is_alias,sku,title,subtitle,description,short_description,status_condition,asin,fnsku,fba_sku,is_fba,isbn_type,barcode_label_type,prep_type,ean,upc,isbn,mpn,warranty,product_tags
1,,,0,SM-PH-001,Samsung Galaxy S21,5G Android Smartphone,Premium smartphone with 8GB RAM and 128GB storage,"8GB RAM, 128GB Storage, 5G Support",1,B08PQ2JL4G,X001A1ABC1,FBA-SGS21-01,1,standard,manufacturer,polybag,8810000000000.0,887000000000.0,,SGS21-128,12,"smartphone, android, 5g"
2,,,0,AP-IP-001,Apple iPhone 14,128GB - Blue,Latest Apple iPhone with A15 chip,"128GB Storage, 6.1-inch Display",1,B0B3H7ZP29,X001A1IP14,FBA-IP14-02,1,standard,amazon_barcode,labeling,190000000000.0,194000000000.0,,AIP14-BLUE,12,"iphone, apple, mobile"
3,PR-HEAD-001,,1,EX-HP-331,JBL Tune 500BT,Wireless Bluetooth Headphones,Lightweight on-ear headphones with deep bass,"Wireless, Deep Bass, 16H Backup",1,B07Q123ABC,X002HP331,FBA-HP331-03,0,standard,manufacturer,polybag,6930000000000.0,50036361234.0,,JBLTUNE500BT,6,"headphones, bluetooth, bass"
4,,,0,DE-LP-001,Dell Inspiron 3511,11th Gen i5 Laptop,Work laptop with 8GB RAM and 512GB SSD,"8GB RAM, 512GB SSD, Win 11",1,B09G45XYZ1,X003LP3511,FBA-LP3511-04,1,standard,manufacturer,bubble_wrap,884000000000.0,884000000000.0,,DELL3511-I5,24,"laptop, dell, i5"
3,AP-IP-001,,0,AP-IP-001-P,Apple iPhone 14 Case,Silicone Case - Black,Smooth & protective silicone case,"Black Silicone, Shockproof",1,B0B5QX2Z9C,X001CASE14,FBA-CASE14-05,0,standard,amazon_barcode,no_prep_needed,,190000000000.0,,AP14CASE-BLK,3,"case , apple accessory"
4,,,0,AM-BDL-001,Home Office Starter Pack,Bundle with monitor/keyboard/mouse,Complete setup bundle for new office,Monitor + Keyboard + Mouse,1,B0C2OFFPK1,X001OFFPACK,FBA-OFFPACK-06,1,oversize,manufacturer,bubble_wrap,,,9780000000000.0,HMPACK-001,12,"bundle, monitor, office"
1,,,0,LG-TV-001,LG 55-inch 4K Smart TV,Ultra HD WebOS TV,Smart TV with HDR10 Pro,"55-inch, WebOS, 4K UHD",1,B08TV4K55A,X001TV55A,FBA-TV55-07,1,oversize,manufacturer,polybag,8810000000000.0,719000000000.0,,LG55UHD-2022,24,"tv, 4k, smarttv"
3,PR-KBS-001,,0,PR-KBS-001,Patanjali Classic Keyboard,Wired USB Keyboard,Standard keyboard with soft keys,"Wired, Plug & Play",1,B07KBPTJ01,X001KBPAT,FBA-KB01-08,0,standard,manufacturer,no_prep_needed,,,9780000000000.0,PTJ-KB-01,6,"keyboard wired, office"
1,,,0,MI-BND-001,Mi Power Bank 20000mAh,Fast Charging Power Bank,High capacity portable charger,"20000mAh, 18W Fast Charge",1,B07PBMI20K,X001PB200,FBA-PB20-09,0,standard,manufacturer,polybag,6930000000000.0,793000000000.0,,MI-PB20K,12,"powerbank, fast charge, portable"
1,,,0,BO-SS-001,Bose SoundLink Mini II,Portable Bluetooth Speaker,Deep bass wireless speaker,"Bluetooth, Deep Bass, 12h Backup",1,B00SLMINI2,X001BOSESP,FBA-SP10-10,0,standard,manufacturer,bubble_wrap,17817123456.0,17817123457.0,,BOSESLMINI2,12,"speaker, bose, bluetooth"
